Sample,subvolume_name,Bone_volume,Mean,Std,calculated_rho
4_LE,voi_1,509320000,0.08100718,0.006680394,1.707504867
4_LE,voi_2,494416000,0.071537636,0.005746636,1.610998314
4_LE,voi_3,502976000,0.075770169,0.005442804,1.654133148
4_LE,voi_4,499576000,0.076066479,0.004813537,1.657152915
4_LE,voi_5,511176000,0.07711602,0.005423146,1.667849057
4_LE,voi_6,502864000,0.072367854,0.006330309,1.619459281
8_LE,voi_1,511992000,0.10208037,0.005924361,1.910508619
8_LE,voi_2,489400000,0.099465765,0.009854955,1.884271746
8_LE,voi_3,509088000,0.100808017,0.007472003,1.897740891
8_LE,voi_4,502304000,0.095878474,0.009638355,1.848274227
8_LE,voi_5,510216000,0.098110698,0.008638428,1.870674005
8_LE,voi_6,506280000,0.10094732,0.010441299,1.899138765
18_LE,voi_1,511992000,0.083191074,0.009725357,1.730362712
18_LE,voi_2,512000000,0.081256509,0.012329809,1.710479044
18_LE,voi_3,510984000,0.078305371,0.007266384,1.680146935
18_LE,voi_4,512000000,0.073498614,0.00628771,1.630742572
18_LE,voi_5,512000000,0.078180909,0.006694115,1.678867701
18_LE,voi_6,512000000,0.077910177,0.012654675,1.676085091
19_LE,voi_1,435528000,0.07932363,0.012142939,1.690347377
19_LE,voi_2,511552000,0.091174096,0.010454086,1.811118518
19_LE,voi_3,416296000,0.077228159,0.010552074,1.668991891
19_LE,voi_4,504080000,0.087011144,0.008839401,1.768692802
19_LE,voi_5,486408000,0.088622883,0.010705938,1.785118452
19_LE,voi_6,416528000,0.079149947,0.009359049,1.688577324
23_LE,voi_1,500088000,0.09596093,0.00765691,1.871022921
23_LE,voi_2,500112000,0.098549068,0.007672616,1.897815904
23_LE,voi_3,509336000,0.095299877,0.007026303,1.864179555
23_LE,voi_4,503672000,0.097135201,0.007620045,1.883179238
23_LE,voi_5,511944000,0.098240018,0.005026356,1.894616548
23_LE,voi_6,510584000,0.097695254,0.006104255,1.888977029
26_LE,voi_1,507056000,0.1024862,0.006484812,1.933895193
