Sample,subvolume_name,Mean,Std,calculated_rho
4_LE,voi_1,0.08085667,0.006981341,1.705970981
4_LE,voi_2,0.07079798,0.006937965,1.603460286
4_LE,voi_3,0.075291783,0.00651774,1.649257785
4_LE,voi_4,0.075269461,0.007096474,1.649030296
4_LE,voi_5,0.077078708,0.005498488,1.667468795
4_LE,voi_6,0.071961075,0.00703366,1.615313689
8_LE,voi_1,0.10207963,0.005927305,1.910501194
8_LE,voi_2,0.096849896,0.015637824,1.858022187
8_LE,voi_3,0.100515887,0.008399532,1.894809445
8_LE,voi_4,0.094933189,0.011769833,1.83878854
8_LE,voi_5,0.097950488,0.009040729,1.869066342
8_LE,voi_6,0.100361735,0.011764561,1.893262565
18_LE,voi_1,0.083190426,0.009726687,1.730356052
18_LE,voi_2,0.081256509,0.012329809,1.710479044
18_LE,voi_3,0.078231826,0.007444589,1.679391034
18_LE,voi_4,0.073498614,0.00628771,1.630742572
18_LE,voi_5,0.078180909,0.006694115,1.678867701
18_LE,voi_6,0.077910177,0.012654675,1.676085091
19_LE,voi_1,0.07664279,0.012938902,1.663026248
19_LE,voi_2,0.091149397,0.010482893,1.810866807
19_LE,voi_3,0.07422968,0.011454745,1.638433624
19_LE,voi_4,0.086594969,0.009386498,1.76445146
19_LE,voi_5,0.087244213,0.012060815,1.771068069
19_LE,voi_6,0.07539504,0.011667538,1.650310109
23_LE,voi_1,0.0949946,0.009904349,1.861019257
23_LE,voi_2,0.097628564,0.009679385,1.888286637
23_LE,voi_3,0.095129684,0.007394635,1.862417673
23_LE,voi_4,0.096525103,0.008938857,1.876863365
23_LE,voi_5,0.09823636,0.005038256,1.894578677
23_LE,voi_6,0.097596496,0.006379607,1.88795467
26_LE,voi_1,0.10197024,0.008313442,1.92858073
26_LE,voi_2,0.095532,0.013624394,1.862265916
26_LE,voi_3,0.100368768,0.004463259,1.912085333
26_LE,voi_4,0.096572578,0.010007356,1.87298402
26_LE,voi_5,0.096505426,0.010674737,1.872292344
26_LE,voi_6,0.100057818,0.009991778,1.908882503
38_LE,voi_1,0.10440538,0.003793723,1.899811167
38_LE,voi_2,0.100416124,0.003468672,1.86121959
38_LE,voi_3,0.097655393,0.004972176,1.834512619
38_LE,voi_4,0.096448168,0.004775844,1.822834071
38_LE,voi_5,0.096285619,0.004600319,1.821261589
38_LE,voi_6,0.101633988,0.004463337,1.873001062
42_LE,voi_1,0.10142636,0.004257596,1.864925633
42_LE,voi_2,0.095588058,0.011374594,1.808479771
42_LE,voi_3,0.096151628,0.006190828,1.813928472
42_LE,voi_4,0.095395163,0.006261874,1.806614819
42_LE,voi_5,0.094480731,0.009582726,1.797773908
42_LE,voi_6,0.098445818,0.004840687,1.836109159
46_LE,voi_1,0.096977696,0.006802217,1.877156796
46_LE,voi_2,0.094220132,0.008874439,1.848753479
46_LE,voi_3,0.095838532,0.006472257,1.865423238
46_LE,voi_4,0.097166032,0.006298734,1.87909668
46_LE,voi_5,0.098044783,0.005119269,1.888147947
46_LE,voi_6,0.096887186,0.007152956,1.876224531
1_LE,voi_1,0.084189,0.026905471,1.735275006
1_LE,voi_2,0.096682079,0.012190723,1.863183031
1_LE,voi_3,0.09772975,0.007921585,1.87390941
1_LE,voi_4,0.097694993,0.007869175,1.873553557
