Sample,Mean_Density,StD_Density,Sample_ID,Group
1_LE,1.8509628073538296,0.0669436343202877,1,"OBC (Karst region, 5–10 yrs)"
4_LE,1.6484169719500554,0.0368604124678612,4,"OBC (Karst region, 5–10 yrs)"
5_LE,1.6155850916241743,0.0214487849188996,5,"OBC (Karst region, 5–10 yrs)"
8_LE,1.8774083788384912,0.026781309407199,8,"OBC (Karst region, 5–10 yrs)"
17_LE,1.6957269727469224,0.0482458264782789,17,"MG (WWII mass grave, Croatia)"
18_LE,1.6843202490969649,0.0340469981868339,18,"MG (WWII mass grave, Croatia)"
19_LE,1.716359386264923,0.0741847629069748,19,"MG (WWII mass grave, Croatia)"
21_LE,1.857219914919071,0.0483878207052442,21,"MG (WWII mass grave, Croatia)"
23_LE,1.878520046657182,0.0142167976373963,23,FRESH (recent)
24_LE,1.8953532398570845,0.0212979572769758,24,FRESH (recent)
25_LE,1.868065321429843,0.0205726988556972,25,FRESH (recent)
26_LE,1.892848474395203,0.027042133099077,26,FRESH (recent)
37_LE,1.8899432041164992,0.0279948294538157,37,"LUB (WWII mass grave, Slovenia)"
38_LE,1.85210668303968,0.0313470723643836,38,"LUB (WWII mass grave, Slovenia)"
40_LE,1.8883916579280915,0.0197930072345372,40,"LUB (WWII mass grave, Slovenia)"
42_LE,1.8213052934723213,0.0249412754274669,42,"LUB (WWII mass grave, Slovenia)"
45_LE,1.937535259144597,0.0381879867156569,45,"PV (aged femurs, Lombardia)"
46_LE,1.872467111648648,0.0136960113211621,46,"PV (aged femurs, Lombardia)"
