Sample,porosityIndex,porosityPercent,trueDensity
1,0.137694948,13.8,2.19
4,0.3414941852,34.1,2.51
5,0.3323938892,33.2,2.44
8,0.1232086634,12.3,2.15
45,0.1555579006,15.6,2.29
46,0.148180267,14.8,2.2
17,0.3119191432,31.2,2.47
18,0.2892627251,28.9,2.37
19,0.2887400016,28.9,2.44
21,0.2343927383,23.4,2.42
37,0.1565342951,15.7,2.24
38,0.2016585659,20.2,2.32
40,0.1517404672,15.2,2.23
42,0.1749825782,17.5,2.21
23,0.1629784299,16.3,2.25
24,0.141862396,14.2,2.21
25,0.1297007883,13,2.16
26,0.1242236719,12.4,2.17
